id,name,city,position,color
PH133901000,TONDO I / II,CITY OF MANILA,"{'lat': 14.618714, 'lng': 120.965756}",#a3e635
PH133902000,BINONDO,CITY OF MANILA,"{'lat': 14.602223866363685, 'lng': 120.97605610818185}",#a3e635
PH133903000,QUIAPO,CITY OF MANILA,"{'lat': 14.59824, 'lng': 120.985848}",#a78bfa
PH133904000,SAN NICOLAS,CITY OF MANILA,"{'lat': 14.597543779300059, 'lng': 120.96729167720005}",#94a3b8
PH133905000,SANTA CRUZ,CITY OF MANILA,"{'lat': 14.61686, 'lng': 120.982948}",#f472b6
PH133906000,SAMPALOC,CITY OF MANILA,"{'lat': 14.609748, 'lng': 120.999008}",#22d3ee
PH133907000,SAN MIGUEL,CITY OF MANILA,"{'lat': 14.593882633400039, 'lng': 120.98723254560005}",#fb7185
PH133908000,ERMITA,CITY OF MANILA,"{'lat': 14.582367, 'lng': 120.984626}",#fb7185
PH133909000,INTRAMUROS,CITY OF MANILA,"{'lat': 14.589569132909132, 'lng': 120.97735090109096}",#fb7185
PH133910000,MALATE,CITY OF MANILA,"{'lat': 14.570199, 'lng': 120.99142}",#a3e635
PH133911000,PACO,CITY OF MANILA,"{'lat': 14.584858, 'lng': 120.994482}",#27272a
PH133912000,PANDACAN,CITY OF MANILA,"{'lat': 14.59092, 'lng': 121.005592}",#fb7185
PH133913000,PORT AREA,CITY OF MANILA,"{'lat': 14.5832897980299, 'lng': 120.97054196110453}",#94a3b8
PH133914000,SANTA ANA,CITY OF MANILA,"{'lat': 14.576558, 'lng': 121.006426}",#f472b6
PH137401001,Addition Hills,CITY OF MANDALUYONG,"{'lat': 14.58798776781823, 'lng': 121.0399661266364}",#22d3ee
PH137401002,Bagong Silang,CITY OF MANDALUYONG,"{'lat': 14.591793559875057, 'lng': 121.03166983712507}",#27272a
PH137401003,Barangka Drive,CITY OF MANDALUYONG,"{'lat': 14.572691020750048, 'lng': 121.03772675075005}",#94a3b8
PH137401004,Barangka Ibaba,CITY OF MANDALUYONG,"{'lat': 14.57039705250005, 'lng': 121.03912455000011}",#94a3b8
PH137401005,Barangka Ilaya,CITY OF MANDALUYONG,"{'lat': 14.572197042111169, 'lng': 121.04837528661116}",#e879f9
PH137401006,Barangka Itaas,CITY OF MANDALUYONG,"{'lat': 14.57152272966672, 'lng': 121.04213805866674}",#e879f9
PH137401007,Burol,CITY OF MANDALUYONG,"{'lat': 14.589493040400043, 'lng': 121.02775818680007}",#a78bfa
PH137401008,Buayang Bato,CITY OF MANDALUYONG,"{'lat': 14.570668688750056, 'lng': 121.0512160110834}",#94a3b8
PH137401009,Daang Bakal,CITY OF MANDALUYONG,"{'lat': 14.593299310000047, 'lng': 121.02811567000009}",#a78bfa
PH137401010,Hagdang Bato Itaas,CITY OF MANDALUYONG,"{'lat': 14.58851269208339, 'lng': 121.03076492100006}",#27272a
PH137401011,Hagdang Bato Libis,CITY OF MANDALUYONG,"{'lat': 14.588809431642902, 'lng': 121.03426107557148}",#22d3ee
PH137401012,Harapin Ang Bukas,CITY OF MANDALUYONG,"{'lat': 14.590952004500044, 'lng': 121.02778335350008}",#f472b6
PH137401013,Highway Hills,CITY OF MANDALUYONG,"{'lat': 14.576873630925977, 'lng': 121.05059154896307}",#fb7185
PH137401014,Hulo,CITY OF MANDALUYONG,"{'lat': 14.571782546416722, 'lng': 121.03163036225006}",#f472b6
PH137401015,Mabini-J. Rizal,CITY OF MANDALUYONG,"{'lat': 14.584819742928621, 'lng': 121.02211854521435}",#a78bfa
PH137401016,Malamig,CITY OF MANDALUYONG,"{'lat': 14.57498812460005, 'lng': 121.04438552320006}",#fb7185
PH137401017,Mauway,CITY OF MANDALUYONG,"{'lat': 14.580958756789519, 'lng': 121.04349341078954}",#94a3b8
PH137401018,Namayan,CITY OF MANDALUYONG,"{'lat': 14.580729711866718, 'lng': 121.02188811873341}",#a3e635
PH137401019,New Zañiga,CITY OF MANDALUYONG,"{'lat': 14.584279768900046, 'lng': 121.02909714680008}",#27272a
PH137401020,Old Zañiga,CITY OF MANDALUYONG,"{'lat': 14.582190444846207, 'lng': 121.02507003184624}",#a3e635
PH137401021,Pag-asa,CITY OF MANDALUYONG,"{'lat': 14.589674668857185, 'lng': 121.02515607628577}",#22d3ee
PH137401022,Plainview,CITY OF MANDALUYONG,"{'lat': 14.576236968250043, 'lng': 121.03564191575009}",#94a3b8
