id,city,name,value,price
PH137601010,CITY OF LAS PIÑAS,Almanza Dos,,25900000
PH137601001,CITY OF LAS PIÑAS,Almanza Uno,,8340000
PH137601011,CITY OF LAS PIÑAS,B. F. International Village,,23700000
PH137601002,CITY OF LAS PIÑAS,Daniel Fajardo,,
PH137601003,CITY OF LAS PIÑAS,Elias Aldana,,
PH137601004,CITY OF LAS PIÑAS,Ilaya,,
PH137601012,CITY OF LAS PIÑAS,Manuyo Dos,,5500000
PH137601005,CITY OF LAS PIÑAS,Manuyo Uno,,4490000
PH137601013,CITY OF LAS PIÑAS,Pamplona Dos,,6090000
PH137601014,CITY OF LAS PIÑAS,Pamplona Tres,,5240000
PH137601006,CITY OF LAS PIÑAS,Pamplona Uno,,6040000
PH137601015,CITY OF LAS PIÑAS,Pilar,,7880000
PH137601016,CITY OF LAS PIÑAS,Pulang Lupa Dos,,6700000
PH137601007,CITY OF LAS PIÑAS,Pulang Lupa Uno,,5600000
PH137601017,CITY OF LAS PIÑAS,Talon Dos,,11500000
PH137601019,CITY OF LAS PIÑAS,Talon Kuatro,,7500000
PH137601020,CITY OF LAS PIÑAS,Talon Singko,,7000000
PH137601018,CITY OF LAS PIÑAS,Talon Tres,,6530000
PH137601008,CITY OF LAS PIÑAS,Talon Uno,,11600000
PH137601009,CITY OF LAS PIÑAS,Zapote,,4550000
PH137602001,CITY OF MAKATI,Bangkal,133000,25000000
PH137602002,CITY OF MAKATI,Bel-Air,380000,230000000
PH137602005,CITY OF MAKATI,Carmona,,
PH137602003,CITY OF MAKATI,Cembo,,
PH137602004,CITY OF MAKATI,Comembo,,
PH137602006,CITY OF MAKATI,Dasmariñas,381000,406000000
PH137602007,CITY OF MAKATI,East Rembo,152000,32000000
PH137602008,CITY OF MAKATI,Forbes Park,329000,629000000
PH137602009,CITY OF MAKATI,Guadalupe Nuevo,,
PH137602010,CITY OF MAKATI,Guadalupe Viejo,393000,47100000
PH137602011,CITY OF MAKATI,Kasilawan,,
PH137602012,CITY OF MAKATI,La Paz,175000,15400000
PH137602013,CITY OF MAKATI,Magallanes,297000,142000000
PH137602014,CITY OF MAKATI,Olympia,197000,31000000
PH137602015,CITY OF MAKATI,Palanan,218000,13500000
PH137602016,CITY OF MAKATI,Pembo,77500,9700000
